,player_id,pretty_name,date_of_birth,position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp
0,38790,Dmitri Golubov,1985-06-24,Attack,Both,178,,675000.0
1,106539,Aleksandr Vasiljev,1992-01-23,Attack,Right,182,,225000.0
2,164389,Rory Donnelly,1992-02-18,Attack,Right,188,113000.0,225000.0
3,45247,Damien Perquis,1986-03-08,Goalkeeper,Right,186,,900000.0
4,97205,Nikita Bezlikhotnov,1990-08-19,Attack,Right,179,,675000.0
5,14962,Jesper Bech,1982-05-25,Midfield,Left,177,,1130000.0
6,202836,Yaffa Yusupha,1996-12-31,Attack,,0,,90000.0
7,40027,Ruben Nygaard,1986-05-25,Attack,Right,175,,180000.0
8,62065,Dennis Hoegh,1989-02-21,Midfield,Right,184,,225000.0
9,203899,Stijn Derkx,1995-02-03,Attack,Right,182,,45000.0
10,48897,Ade Runsewe,1989-12-01,Attack,Right,176,,315000.0
11,23367,Alessio Sestu,1983-09-29,Attack,Right,177,,720000.0
12,107958,Nicola Bellomo,1991-02-18,Midfield,Right,174,,1620000.0
13,103110,Frederik Hammershoj,1987-06-15,Midfield,Left,0,,135000.0
14,45185,Tomasz Kupisz,1990-01-02,Midfield,Right,180,,900000.0
15,334723,Nicolas Napol,1996-04-03,Attack,Right,186,,68000.0
16,176130,Lorenzo Rosseti,1994-08-05,Attack,Right,182,,1080000.0
17,47769,Bjarni Vidarsson,1988-03-05,Midfield,Both,187,,900000.0
18,20726,Rolando Bianchi,1983-02-15,Attack,Right,188,,11700000.0
19,287631,Pierluigi Cappelluzzo,1996-06-09,Attack,Left,186,,270000.0
20,16117,Nicola Pozzi,1986-06-30,Attack,Right,182,,4320000.0
21,7499,Lionel Scaloni,1978-05-16,Defender,Right,182,,5400000.0
22,88542,Ruben Botta,1990-01-31,Midfield,Left,177,,4500000.0
23,20913,Giuseppe Biava,1977-05-08,Defender,Right,180,,2250000.0
24,7102,Giorgio Frezzolini,1976-01-21,Goalkeeper,Right,186,,360000.0
25,22185,Vlada Avramov,1979-04-05,Goalkeeper,Right,187,,450000.0
26,76902,Fernandinho,1985-11-25,Attack,Left,173,,1800000.0
27,291278,Davide Merelli,1996-03-04,Goalkeeper,Left,188,,180000.0
28,7611,Javier Saviola,1981-12-11,Attack,Right,168,,18000000.0
29,73048,Ivan Martic,1990-10-02,Defender,Right,183,,720000.0
30,17171,Alessandro Agostini,1979-07-23,Defender,Left,177,,1800000.0
31,299944,Alimeyaw Salifu,1995-08-20,Midfield,Right,180,,45000.0
32,55472,Rafael Marques,1983-09-21,Defender,Right,187,,1620000.0
33,37633,Guillermo Rodriguez,1984-03-21,Defender,Left,185,,2610000.0
34,337135,Alessandro Salvetti,1997-04-05,Goalkeeper,,0,,90000.0
35,5976,Roberto Guana,1981-01-21,Midfield,Right,178,,3780000.0
36,287686,Filippo Boni,1995-06-29,Defender,Left,190,,90000.0
37,34909,Simone Bentivoglio,1985-05-29,Midfield,Right,184,,2700000.0
38,238953,Lorenzo Ferrari,1996-03-09,Goalkeeper,Right,195,,68000.0
39,173860,Myles Anderson,1990-01-09,Defender,Left,183,,68000.0
40,245092,Grega Sorcan,1996-03-05,Goalkeeper,Right,188,,450000.0
41,29208,Davide Succi,1981-10-11,Attack,Right,182,,1980000.0
42,160188,Marcao,1992-03-06,Goalkeeper,Right,195,,45000.0
43,28851,Manuel Coppola,1982-05-11,Midfield,Right,172,,900000.0
44,29604,Riccardo Cazzola,1985-10-08,Midfield,Right,189,,900000.0
45,200653,David Forgacs,1995-09-29,Defender,Left,179,,113000.0
46,8206,Emmanuel Cascione,1983-09-22,Midfield,Right,187,,1350000.0
47,287688,Janis Cavagna,1995-03-12,Midfield,Right,178,,113000.0
48,70203,Ze Eduardo,1991-08-16,Midfield,Right,186,,900000.0
49,314369,Matteo Gasperi,1997-07-17,Midfield,Right,184,,90000.0
50,24305,Giuseppe De Feudis,1983-07-10,Midfield,Right,170,,1800000.0
51,28817,Gabriele Perico,1984-03-11,Defender,Right,183,,810000.0
52,13749,Gaby Mudingayi,1981-10-01,Midfield,Right,180,,5400000.0
